epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,427.886,1.69972,2.64768,1.91115,0.47273,0.42751,0.42687,0.22138,1.76875,2.14151,2.01639,0.000332727,0.000332727,0.06706
2,865.038,1.68265,2.38631,1.93577,0.51028,0.43745,0.44161,0.21979,1.82058,2.27808,2.09272,0.000652873,0.000652873,0.0340468
3,1295.58,1.62575,2.24441,1.88387,0.64679,0.48087,0.54808,0.30236,1.67921,1.76549,1.93435,0.000959818,0.000959818,0.00102042
4,1725.52,1.57136,2.06163,1.82668,0.71128,0.58956,0.65522,0.39536,1.43713,1.4978,1.73384,0.0009406,0.0009406,0.0009406
5,2156.56,1.49919,1.87781,1.75337,0.72869,0.60403,0.69492,0.40234,1.48562,1.41367,1.72134,0.0009208,0.0009208,0.0009208
6,2588.11,1.44605,1.75201,1.70428,0.72175,0.64157,0.70762,0.47688,1.21024,1.2912,1.54746,0.000901,0.000901,0.000901
7,3020.5,1.41925,1.66648,1.67575,0.77393,0.66937,0.76945,0.48825,1.31928,1.19228,1.61179,0.0008812,0.0008812,0.0008812
8,3451.5,1.38412,1.56808,1.6435,0.81028,0.72622,0.80378,0.53175,1.2286,1.04713,1.51384,0.0008614,0.0008614,0.0008614
9,3885.94,1.34898,1.48696,1.61282,0.80137,0.73922,0.80986,0.53398,1.23495,1.04688,1.5199,0.0008416,0.0008416,0.0008416
10,4320.05,1.3247,1.44692,1.58761,0.843,0.75231,0.83419,0.59242,1.06197,0.91739,1.40134,0.0008218,0.0008218,0.0008218
11,4753.12,1.31411,1.39503,1.57312,0.83502,0.75883,0.83476,0.59203,1.07202,0.90274,1.40713,0.000802,0.000802,0.000802
12,5185.05,1.29681,1.35646,1.56822,0.89404,0.74366,0.84827,0.60546,1.07752,0.86832,1.4067,0.0007822,0.0007822,0.0007822
13,5616.89,1.27495,1.32031,1.54762,0.85694,0.77518,0.86165,0.61766,1.06322,0.82527,1.38571,0.0007624,0.0007624,0.0007624
14,6047.39,1.2682,1.27856,1.53861,0.87667,0.78232,0.8663,0.61555,1.04332,0.80783,1.36829,0.0007426,0.0007426,0.0007426
15,6475.46,1.25861,1.26723,1.52798,0.87267,0.80463,0.87698,0.66293,0.91113,0.76855,1.29874,0.0007228,0.0007228,0.0007228
